Configuration,N_features,Val_W-F1,Test_W-F1,Test_M-F1,Test_Frust_Recall
No GoEmotions,13,0.6206901470214552,0.6462521476247294,0.46901716423055023,0.14
Full ensemble,19,0.6231741615987576,0.6458483482656381,0.4687000473983411,0.14
No VADER,15,0.6212325436137208,0.6457580079413525,0.46871299820587903,0.14
No SpeechBrain,15,0.6174220418238896,0.6452146728760212,0.47105306700627436,0.16
Only RoBERTa,5,0.6165141609858965,0.6441664149375389,0.46749519157451835,0.14
No RoBERTa,14,0.563711534270551,0.5857730008564753,0.44563107480754544,0.36
Only GoEmotions,6,0.5113279340023862,0.5590666421021758,0.4219782959362449,0.38
Only SpeechBrain,4,0.44498782198374276,0.44811902220286065,0.30292910961004005,0.0
Only VADER,4,0.3708910491817201,0.39666582333872724,0.24695925339876573,0.16
