threshold,TP,FP,FN,TN,handover_precision,handover_recall,handover_f1,frustration_recall
0.3,111,65,104,678,0.6306818181818182,0.5162790697674419,0.5677749360613811,0.5
0.31,111,65,104,678,0.6306818181818182,0.5162790697674419,0.5677749360613811,0.5
0.32,111,65,104,678,0.6306818181818182,0.5162790697674419,0.5677749360613811,0.5
0.33,110,65,105,678,0.6285714285714286,0.5116279069767442,0.5641025641025641,0.475
0.34,110,65,105,678,0.6285714285714286,0.5116279069767442,0.5641025641025641,0.475
0.35,110,65,105,678,0.6285714285714286,0.5116279069767442,0.5641025641025641,0.475
0.36,108,65,107,678,0.6242774566473989,0.5023255813953489,0.5567010309278351,0.475
0.37,107,64,108,679,0.6257309941520468,0.49767441860465117,0.5544041450777203,0.475
0.38,107,64,108,679,0.6257309941520468,0.49767441860465117,0.5544041450777203,0.475
0.39,107,63,108,680,0.6294117647058823,0.49767441860465117,0.5558441558441559,0.475
0.4,107,62,108,681,0.6331360946745562,0.49767441860465117,0.5572916666666667,0.475
0.41,106,62,109,681,0.6309523809523809,0.4930232558139535,0.5535248041775457,0.45
0.42,106,62,109,681,0.6309523809523809,0.4930232558139535,0.5535248041775457,0.45
0.43,106,60,109,683,0.6385542168674698,0.4930232558139535,0.5564304461942257,0.45
0.44,106,60,109,683,0.6385542168674698,0.4930232558139535,0.5564304461942257,0.45
0.45,106,60,109,683,0.6385542168674698,0.4930232558139535,0.5564304461942257,0.45
0.46,106,60,109,683,0.6385542168674698,0.4930232558139535,0.5564304461942257,0.45
0.47,106,60,109,683,0.6385542168674698,0.4930232558139535,0.5564304461942257,0.45
0.48,105,60,110,683,0.6363636363636364,0.4883720930232558,0.5526315789473685,0.425
0.49,105,60,110,683,0.6363636363636364,0.4883720930232558,0.5526315789473685,0.425
0.5,104,60,111,683,0.6341463414634146,0.48372093023255813,0.5488126649076517,0.425
0.51,104,59,111,684,0.6380368098159509,0.48372093023255813,0.5502645502645502,0.425
0.52,104,58,111,685,0.6419753086419753,0.48372093023255813,0.5517241379310345,0.425
0.53,104,57,111,686,0.6459627329192547,0.48372093023255813,0.5531914893617021,0.425
0.54,104,56,111,687,0.65,0.48372093023255813,0.5546666666666666,0.425
0.55,102,56,113,687,0.6455696202531646,0.4744186046511628,0.546916890080429,0.425
0.56,102,56,113,687,0.6455696202531646,0.4744186046511628,0.546916890080429,0.425
0.57,102,56,113,687,0.6455696202531646,0.4744186046511628,0.546916890080429,0.425
0.58,102,56,113,687,0.6455696202531646,0.4744186046511628,0.546916890080429,0.425
0.59,100,55,115,688,0.6451612903225806,0.46511627906976744,0.5405405405405406,0.4
0.6,100,55,115,688,0.6451612903225806,0.46511627906976744,0.5405405405405406,0.4
0.61,100,55,115,688,0.6451612903225806,0.46511627906976744,0.5405405405405406,0.4
0.62,100,55,115,688,0.6451612903225806,0.46511627906976744,0.5405405405405406,0.4
0.63,100,55,115,688,0.6451612903225806,0.46511627906976744,0.5405405405405406,0.4
0.64,100,54,115,689,0.6493506493506493,0.46511627906976744,0.5420054200542006,0.4
0.65,99,54,116,689,0.6470588235294118,0.4604651162790698,0.5380434782608696,0.4
0.66,99,54,116,689,0.6470588235294118,0.4604651162790698,0.5380434782608696,0.4
0.67,98,54,117,689,0.6447368421052632,0.4558139534883721,0.5340599455040872,0.4
0.68,97,54,118,689,0.6423841059602649,0.4511627906976744,0.5300546448087431,0.4
0.69,97,54,118,689,0.6423841059602649,0.4511627906976744,0.5300546448087431,0.4
0.7,97,53,118,690,0.6466666666666666,0.4511627906976744,0.5315068493150685,0.4
